# Строка для совместимости
0.0306;-222.7;220.4;-11.22;0.1569
0.132;-570.0;1909.0;765.1;-112.3
2.144;-6.098;77.12;41960.0;-34370.0
20.0;0.571;-200.1;45050.0;-38530.0
100.0;0.03613;-8.426;22770.0;808000.0
500.0;0.01421;17.7;6221.0;5554000.0
# 16 Sulfer S 7
0.01;536.8;0.0;0.0;0.0
0.0341;-209.7;317.4;-18.15;0.2796
0.165;-488.5;1976.0;1206.0;-193.4
2.472;-10.21;234.6;51640.0;-47070.0
20.0;0.7467;-253.4;58000.0;-66910.0
100.0;0.06338;-34.43;40580.0;223300.0
500.0;0.01857;23.98;6706.0;8358000.0
# 17 Chlorine Cl 7
0.01;780.8;0.0;0.0;0.0
0.0436;-61.63;393.4;-25.63;0.4396
0.2;-214.7;1269.0;2099.0;-370.5
2.824;-11.92;325.3;59270.0;-59800.0
20.0;0.8789;-292.0;68600.0;-101800.0
100.0;0.06556;-21.75;38950.0;973700.0
500.0;0.02236;28.84;9717.0;9001000.0
# 18 Argon Ar 7
0.01;-82940.0;5720.0;-110.1;0.6668
0.04;-1401.0;957.7;-78.42;1.797
0.245;-224.4;1388.0;2571.0;-511.3
3.203;-14.46;435.9;65780.0;-72840.0
20.0;0.8786;-300.1;76820.0;-121900.0
100.0;0.06779;-26.95;50690.0;528100.0
500.0;0.02598;34.54;10590.0;10680000.0
# 19 Potassium K 7
0.01;3111.0;0.0;0.0;0.0
0.0305;61.62;577.0;-44.97;0.9218
0.294;-360.1;2287.0;2513.0;-459.1
3.607;-21.13;716.1;81830.0;-98590.0
20.0;1.048;-364.4;98440.0;-176000.0
100.0;0.104;-35.53;60960.0;1226000.0
500.0;0.03453;46.21;16690.0;12380000.0
# 20 Calcium Ca 7
0.01;3029.0;0.0;0.0;0.0
0.0305;381.6;588.7;-48.88;1.019
0.346;-105.4;1120.0;5115.0;-1325.0
4.037;-30.15;1141.0;94590.0;-119500.0
20.0;1.408;-455.3;120600.0;-253100.0
100.0;0.1204;-53.56;87790.0;625200.0
500.0;0.04178;57.61;13770.0;20190000.0
# 21 Scandium Sc 6
0.01;1121.0;7.413;-0.302;0.00151
0.032;297.0;635.9;-49.35;1.044
0.402;-150.7;1501.0;5139.0;-1442.0
4.491;0.4615;-261.4;121700.0;-205700.0
100.0;0.1509;-69.13;92530.0;1096000.0
500.0;0.04833;68.81;27620.0;12900000.0
# 22 Titanium Ti 6
0.01;3596.0;-68.77;0.9609;-0.004754
0.1;-313.2;1024.0;-100.8;3.096
0.456;-46.26;867.8;7308.0;-2383.0
4.966;0.2074;-229.2;137100.0;-248900.0
100.0;0.1972;-95.5;110600.0;1067000.0
500.0;0.05606;81.4;31060.0;15670000.0
# 23 Vanadium V 7
0.01;4117.0;-105.4;1.531;-0.007725
0.12;-405.2;1169.0;-121.2;4.148
0.513;9968.0;-1796.0;-1204.0;1481.0
0.628;-142.9;1632.0;7203.0;-2283.0
5.465;0.394;-273.3;156400.0;-318400.0
100.0;0.2007;-89.11;125400.0;1137000.0
